V1,V2,O,P1,P2,ID,V1_mean,V1_percentile,V1_V1_mean
0.0620019397426991,1754_1387_1334,1754,1387,1334,1754,0.0426579829331101,0.763636363636364,1.45346627945164
0.0475647706169542,1754_1387_1757,1754,1387,1757,1754,0.0426579829331101,0.554545454545455,1.11502624705763
0.034570856315793,1754_1387_1852,1754,1387,1852,1754,0.0426579829331101,0.281818181818182,0.810419385511074
0.0644484389384093,1754_1387_1879,1754,1387,1879,1754,0.0426579829331101,0.809090909090909,1.5108177768149
0.0301065728936104,1754_1848_1948,1754,1848,1948,1754,0.0426579829331101,0.236363636363636,0.705766443313061
0.030875692682734,1754_1848_1334,1754,1848,1334,1754,0.0426579829331101,0.245454545454545,0.723796357909108
0.0489053392213612,1754_1848_1757,1754,1848,1757,1754,0.0426579829331101,0.6,1.14645221969466
0.0273848746278266,1754_1848_1852,1754,1848,1852,1754,0.0426579829331101,0.2,0.641963654745877
0.0430624932933062,1754_1848_1879,1754,1848,1879,1754,0.0426579829331101,0.481818181818182,1.00948264152176
0.0330921747452483,1754_1948_1334,1754,1948,1334,1754,0.0426579829331101,0.263636363636364,0.775755731281025
0.03742810039221,1754_1948_1757,1754,1948,1757,1754,0.0426579829331101,0.318181818181818,0.877399675716013
0.0415571133055156,1754_1948_1852,1754,1948,1852,1754,0.0426579829331101,0.4,0.974193115757004
0.0624645411645952,1754_1948_1879,1754,1948,1879,1754,0.0426579829331101,0.772727272727273,1.46431070738958
0.0416331011084464,1754_1334_1757,1754,1334,1757,1754,0.0426579829331101,0.409090909090909,0.975974442432715
0.0256761759240861,1754_1334_1852,1754,1334,1852,1754,0.0426579829331101,0.181818181818182,0.601907876524487
0.0449252213273118,1754_1334_1879,1754,1334,1879,1754,0.0426579829331101,0.527272727272727,1.05314921705878
0.0392482136448423,1754_1757_1852,1754,1757,1852,1754,0.0426579829331101,0.354545454545455,0.920067263995708
0.0480920643575616,1754_1757_1879,1754,1757,1879,1754,0.0426579829331101,0.581818181818182,1.12738720986814
0.0423267465257401,1754_1852_1879,1754,1852,1879,1754,0.0426579829331101,0.463636363636364,0.992235066344102
0.0427284396924716,422_532_419,422,532,419,422,,0.472727272727273,
0.0513358772893351,1024_1062_1008,1024,1062,1008,1024,,0.636363636363636,
0.086617381427894,552_610_669,552,610,669,552,,0.972727272727273,
0.0419329870784049,1879_1948_1757,1879,1948,1757,1879,0.0525967242632015,0.418181818181818,0.797254727662625
0.0420691547468766,1879_1948_738,1879,1948,738,1879,0.0525967242632015,0.427272727272727,0.799843627834246
0.0422283582991123,1879_1948_1754,1879,1948,1754,1879,0.0525967242632015,0.445454545454545,0.80287049983941
0.0650855859868112,1879_1757_738,1879,1757,738,1879,0.0525967242632015,0.818181818181818,1.23744561849733
0.0624994241029059,1879_1757_1754,1879,1757,1754,1879,0.0525967242632015,0.781818181818182,1.18827598065138
0.0617648353650983,1879_738_1754,1879,738,1754,1879,0.0525967242632015,0.754545454545455,1.17430954551501
